Id,Label
Osha,Osha
Osmund-Kettleblack,Osmund Kettleblack
Osney-Kettleblack,Osney Kettleblack
Ottyn-Wythers,Ottyn Wythers
Palla,Palla
Patchface,Patchface
Paxter-Redwyne,Paxter Redwyne
Perwyn-Frey,Perwyn Frey
Petyr-Baelish,Littlefinger
Podrick-Payne,Podrick Payne
Polliver,Polliver
Pono,Pono
Poxy-Tym,Poxy Tym
Praed,Praed
Preston-Greenfield,Preston Greenfield
Pyat-Pree,Pyat Pree
Pycelle,Pycelle
Pylos,Pylos
Qhorin-Halfhand,Qhorin Halfhand
Quaithe,Quaithe
Qyburn,Qyburn
Rafford,Rafford
Rakharo,Rakharo
Ramsay-Snow,Ramsay Snow
Randyll-Tarly,Randyll Tarly
Rattleshirt,Rattleshirt
Reek,Reek
Renly-Baratheon,Renly
Rhaegar-Targaryen,Rhaegar
Rhaenys-Targaryen,Rhaenys Targaryen
Rickard-Karstark,Rickard Karstark
Rickon-Stark,Rickon Stark
Robar-Royce,Robar Royce
Robb-Stark,Robb
Robert-Arryn,Robert Arryn
Robert-Baratheon,Robert
Robett-Glover,Robett Glover
Rodrik-Cassel,Rodrik Cassel
Roose-Bolton,Roose Bolton
Rorge,Rorge
Salladhor-Saan,Salladhor Saan
Samwell-Tarly,Samwell
Sandor-Clegane,Sandor Clegane
Sansa-Stark,Sansa
Selwyn-Tarth,Selwyn Tarth
Selyse-Florent,Selyse
Shadd,Shadd
Shae,Shae
Shagga,Shagga
Shireen-Baratheon,Shireen
Squint,Squint
Stafford-Lannister,Stafford Lannister
Stannis-Baratheon,Stannis
Steffon-Baratheon,Steffon Baratheon
Steffon-Varner,Steffon Varner
Stonesnake,Stonesnake
Stygg,Stygg
Syrio-Forel,Syrio Forel
Tanda-Stokeworth,Tanda Stokeworth
Tarber,Tarber
Theon-Greyjoy,Theon
Thoren-Smallwood,Thoren Smallwood
Thoros-of-Myr,Thoros of Myr
Tickler,Tickler
Timett,Timett
Tommen-Baratheon,Tommen
Trystane-Martell,Trystane Martell
Tyrion-Lannister,Tyrion
Tysha,Tysha
Tywin-Lannister,Tywin
Urzen,Urzen
Utherydes-Wayn,Utherydes Wayn
Vargo-Hoat,Vargo Hoat
Varys,Varys
Victarion-Greyjoy,Victarion Greyjoy
Visenya-Targaryen,Visenya Targaryen
Viserys-Targaryen,Viserys
Vylarr,Vylarr
Vyman,Vyman
Walder-Frey,Walder Frey
Walder-Frey-(son-of-Jammos),Walder Frey (son of Jamos)
Walder-Frey-(son-of-Merrett),Walder Frey (son of Merrett)
Weasel,Weasel
Weese,Weese
Wendel-Manderly,Wendel Manderly
Werlag,Werlag
Wex-Pyke,Wex Pyke
Woth,Woth
Wyman-Manderly,Wyman Manderly
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos
Ygritte,Ygritte
Yoren,Yoren
