Id,Label
Stannis-Baratheon,Stannis Baratheon
Stevron-Frey,Stevron Frey
Styr,Styr
Sybell-Spicer,Sybell Spicer
Symon-Silver-Tongue,Symon Silver Tongue
Tanda-Stokeworth,Tanda Stokeworth
Tansy,Tansy
Theon-Greyjoy,Theon Greyjoy
Thoren-Smallwood,Thoren Smallwood
Thoros-of-Myr,Thoros of Myr
Tickler,Tickler
Tion-Frey,Tion Frey
Todder,Todder
Tom-of-Sevenstreams,Tom of Sevenstreams
Tommen-Baratheon,Tommen Baratheon
Tormund,Tormund
Torrhen-Stark,Torrhen Stark
Tristifer-IV-Mudd,Tristifer IV Mudd
Tyrion-Lannister,Tyrion Lannister
Tysha,Tysha
Tytos-Blackwood,Tytos Blackwood
Tywin-Lannister,Tywin Lannister
Urswyck,Urswyck
Utherydes-Wayn,Utherydes Wayn
Val,Val
Varamyr,Varamyr
Vargo-Hoat,Vargo Hoat
Varys,Varys
Viserys-Targaryen,Viserys Targaryen
Vyman,Vyman
Walder-Frey,Walder Frey
Walder-Rivers,Walder Rivers
Walton,Walton
Watt,Watt
Weeper,Weeper
Wendel-Manderly,Wendel Manderly
Willas-Tyrell,Willas Tyrell
Willem-Lannister,Willem Lannister
Wynton-Stout,Wynton Stout
Ygritte,Ygritte
Yohn-Royce,Yohn Royce
Zei,Zei
Zollo,Zollo
