Id,Label
Jojen-Reed,Jojen Reed
Jon-Connington,Connington
Jon-Snow,Jon Snow
Jon-Umber-(Greatjon),Jon Umber (Greatjon)
Jonos-Bracken,Jonos Bracken
Jorah-Mormont,Jorah Mormont
Joramun,Joramun
Josmyn-Peckledon,Josmyn Peckledon
Justin-Massey,Justin Massey
Kasporio,Kasporio
Kedry,Kedry
Kerwin,Kerwin
Kevan-Lannister,Kevan Lannister
Khrazz,Khrazz
Kindly-Man,Kindly Man
Lancel-Lannister,Lancel Lannister
Larraq,Larraq
Leaf,Leaf
Leathers,Leathers
Lemore,Lemore
Leona-Woolfield,Leona Woolfield
Longwater-Pyke,Longwater Pyke
Lorren,Lorren
Lucifer-Long,Lucifer Long
Luton,Luton
Lyanna-Mormont,Lyanna Mormont
Lyanna-Stark,Lyanna Stark
Lysono-Maar,Lysono Maar
Mace-Tyrell,Mace Tyrell
Maege-Mormont,Maege Mormont
Malaquo-Maegyr,Malaquo Maegyr
Malegorn,Malegorn
Mance-Rayder,Mance Rayder
Margaery-Tyrell,Margaery Tyrell
Marghaz-zo-Loraq,Marghaz zo Loraq
Marlon-Manderly,Marlon Manderly
Marselen,Marselen
Marya-Seaworth,Marya Seaworth
Meera-Reed,Meera Reed
Melisandre,Melisandre
Meris,Meris
Meryn-Trant,Meryn Trant
Mezzara,Mezzara
Miklaz,Miklaz
Missandei,Missandei
Moelle,Moelle
Moqorro,Moqorro
Morgo,Morgo
Mors-Umber,Mors Umber
Mully,Mully
Myles-Toyne,Myles Toyne
Myrcella-Baratheon,Myrcella Baratheon
Narbert-Grandison,Narbert Grandison
Nurse,Nurse
Nyessos-Vhassar,Nyessos Vhassar
Nymeria-Sand,Nymeria Sand
Obara-Sand,Obara Sand
Oberyn-Martell,Oberyn Martell
Old-Bill-Bone,Old Bill Bone
Osney-Kettleblack,Osney Kettleblack
Othell-Yarwyck,Othell Yarwyck
Owen,Owen
Patchface,Patchface
Patrek-of-Kings-Mountain,Patrek of Kings Mountain
Penny,Penny
Petyr-Baelish,Petyr Baelish
Pono,Pono
Pycelle,Pycelle
Pypar,Pypar
Qarl-the-Maid,Qarl the Maid
Qavo-Nogarys,Qavo Nogarys
Qezza,Qezza
Qhorin-Halfhand,Qhorin Halfhand
Quaithe,Quaithe
Quentyn-Martell,Quentyn Martell
Qyburn,Qyburn
Rafford,Rafford
Rakharo,Rakharo
Ralf-(Limper),Ralf (Limper)
Ramsay-Snow,Ramsay Snow
Randyll-Tarly,Randyll Tarly
Rattleshirt,Rattleshirt
Raymun-Redbeard,Raymun Redbeard
Reznak-mo-Reznak,Reznak mo Reznak
Rhaegar-Frey,Rhaegar Frey
Rhaegar-Targaryen,Rhaegar Targaryen
Rhaenys-Targaryen-(daughter-of-Rhaegar),Rhaenys Targaryen (daughter of Rhaegar)
Richard-Horpe,Richard Horpe
Rickard-Karstark,Rickard Karstark
Rickon-Stark,Rickon Stark
Robb-Stark,Robb Stark
Robert-Baratheon,Robert Baratheon
Robert-Strong,Robert Strong
Robett-Glover,Robett Glover
Rodrik-Cassel,Rodrik Cassel
Rodrik-Sparr,Rodrik Sparr
Roger-Ryswell,Roger Ryswell
Rolfe-the-Dwarf,Rolfe the Dwarf
Rolly-Duckfield,Rolly Duckfield
Ronnet-Connington,Ronnet Connington
Roose-Bolton,Roose Bolton
Roose-Ryswell,Roose Ryswell
Rory,Rory
Rowan,Rowan
Salladhor-Saan,Salladhor Saan
Samwell-Tarly,Samwell Tarly
Sansa-Stark,Sansa Stark
Satin,Satin
Scar,Scar
Scolera,Scolera
Selyse-Florent,Selyse Florent
Shae,Shae
Shireen-Baratheon,Shireen Baratheon
Shrouded-Lord,Shrouded Lord
Sigorn,Sigorn
Skahaz-mo-Kandaq,Skahaz mo Kandaq
Skinner,Skinner
Soren-Shieldbreaker,Soren Shieldbreaker
Sour-Alyn,Sour Alyn
Spotted-Cat,Spotted Cat
Squirrel,Squirrel
Stannis-Baratheon,Stannis Baratheon
Steelskin,Steelskin
Sweets,Sweets
Sybell-Spicer,Sybell Spicer
Sybelle-Glover,Sybelle Glover
Symon-Stripeback,Symon Stripeback
Tattered-Prince,Tattered Prince
Theomore,Theomore
Theon-Greyjoy,Theon Greyjoy
Thistle,Thistle
Todder,Todder
Tom-Barleycorn,Tom Barleycorn
Tommen-Baratheon,Tommen Baratheon
Toregg,Toregg
Torghen-Flint,Torghen Flint
Torgon-Greyiron,Torgon Greyiron
Tormund,Tormund
Tristifer-Botley,Tristifer Botley
Trystane-Martell,Trystane Martell
Tybero-Istarion,Tybero Istarion
Tycho-Nestoris,Tycho Nestoris
Tyene-Sand,Tyene Sand
Tyrion-Lannister,Tyrion Lannister
Tysha,Tysha
Tytos-Blackwood,Tytos Blackwood
Tywin-Lannister,Tywin Lannister
Ulmer,Ulmer
Unella,Unella
Val,Val
Varamyr,Varamyr
Varys,Varys
Victarion-Greyjoy,Victarion Greyjoy
Viserys-Targaryen,Viserys Targaryen
Waif,Waif
Walda-Frey-(daughter-of-Merrett),Walda Frey (daughter of Merrett)
Walder-Frey-(son-of-Jammos),Walder Frey (son of Jammos)
Walder-Frey-(son-of-Merrett),Walder Frey (son of Merrett)
Weeper,Weeper
Wex-Pyke,Wex Pyke
Wick-Whittlestick,Wick Whittlestick
Widower,Widower
Willam-Dustin,Willam Dustin
William-Foxglove,William Foxglove
Willow-Witch-eye,Willow Witch eye
Wulfe,Wulfe
Wun-Weg-Wun-Dar-Wun,Wun Weg Wun Dar Wun
Wylis-Manderly,Wylis Manderly
Wyman-Manderly,Wyman Manderly
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos
Yandry,Yandry
Yellow-Dick,Yellow Dick
Yezzan-zo-Qaggaz,Yezzan zo Qaggaz
Ygritte,Ygritte
Ysilla,Ysilla
Yurkhaz-zo-Yunzak,Yurkhaz zo Yunzak
