id,Source,Target,Type,weight,book,weight_inv
280,Drogo,Haggo,Undirected,9,1.0,0.1111111111111111
281,Drogo,Illyrio-Mopatis,Undirected,16,1.0,0.0625
282,Drogo,Irri,Undirected,9,1.0,0.1111111111111111
283,Drogo,Jhiqui,Undirected,5,1.0,0.2
284,Drogo,Jhogo,Undirected,7,1.0,0.14285714285714285
285,Drogo,Jommo,Undirected,3,1.0,0.3333333333333333
286,Drogo,Jorah-Mormont,Undirected,16,1.0,0.0625
287,Drogo,Mirri-Maz-Duur,Undirected,12,1.0,0.08333333333333333
288,Drogo,Ogo,Undirected,11,1.0,0.09090909090909093
289,Drogo,Qotho,Undirected,13,1.0,0.07692307692307693
290,Drogo,Quaro,Undirected,3,1.0,0.3333333333333333
291,Drogo,Rakharo,Undirected,4,1.0,0.25
292,Drogo,Rhaego,Undirected,5,1.0,0.2
293,Drogo,Robert-Baratheon,Undirected,3,1.0,0.3333333333333333
294,Drogo,Viserys-Targaryen,Undirected,19,1.0,0.05263157894736842
295,Dywen,Jon-Snow,Undirected,4,1.0,0.25
296,Eddard-Stark,Edmure-Tully,Undirected,3,1.0,0.3333333333333333
297,Eddard-Stark,Galbart-Glover,Undirected,4,1.0,0.25
298,Eddard-Stark,Gendry,Undirected,3,1.0,0.3333333333333333
299,Eddard-Stark,Gerold-Hightower,Undirected,3,1.0,0.3333333333333333
300,Eddard-Stark,Gregor-Clegane,Undirected,10,1.0,0.1
301,Eddard-Stark,Harwin,Undirected,5,1.0,0.2
302,Eddard-Stark,High-Septon-(fat_one),Undirected,4,1.0,0.25
303,Eddard-Stark,Howland-Reed,Undirected,3,1.0,0.3333333333333333
304,Eddard-Stark,Ilyn-Payne,Undirected,6,1.0,0.16666666666666666
305,Eddard-Stark,Jacks,Undirected,4,1.0,0.25
306,Eddard-Stark,Jaime-Lannister,Undirected,27,1.0,0.037037037037037035
307,Eddard-Stark,Janos-Slynt,Undirected,4,1.0,0.25
308,Eddard-Stark,Joffrey-Baratheon,Undirected,26,1.0,0.038461538461538464
309,Eddard-Stark,Jon-Arryn,Undirected,47,1.0,0.02127659574468085
310,Eddard-Stark,Jon-Snow,Undirected,38,1.0,0.02631578947368421
311,Eddard-Stark,Jory-Cassel,Undirected,32,1.0,0.03125
312,Eddard-Stark,Joss,Undirected,5,1.0,0.2
313,Eddard-Stark,Loras-Tyrell,Undirected,12,1.0,0.08333333333333333
314,Eddard-Stark,Luwin,Undirected,16,1.0,0.0625
315,Eddard-Stark,Lyanna-Stark,Undirected,19,1.0,0.05263157894736842
316,Eddard-Stark,Lysa-Arryn,Undirected,12,1.0,0.08333333333333333
317,Eddard-Stark,Marq-Piper,Undirected,3,1.0,0.3333333333333333
318,Eddard-Stark,Mordane,Undirected,11,1.0,0.09090909090909093
319,Eddard-Stark,Mycah,Undirected,3,1.0,0.3333333333333333
320,Eddard-Stark,Petyr-Baelish,Undirected,81,1.0,0.012345679012345678
321,Eddard-Stark,Porther,Undirected,4,1.0,0.25
322,Eddard-Stark,Pycelle,Undirected,33,1.0,0.030303030303030307
323,Eddard-Stark,Raymun-Darry,Undirected,4,1.0,0.25
324,Eddard-Stark,Renly-Baratheon,Undirected,33,1.0,0.030303030303030307
325,Eddard-Stark,Rhaegar-Targaryen,Undirected,10,1.0,0.1
326,Eddard-Stark,Rickard-Karstark,Undirected,4,1.0,0.25
327,Eddard-Stark,Rickon-Stark,Undirected,4,1.0,0.25
328,Eddard-Stark,Robb-Stark,Undirected,16,1.0,0.0625
329,Eddard-Stark,Robert-Baratheon,Undirected,291,1.0,0.003436426116838488
330,Eddard-Stark,Rodrik-Cassel,Undirected,7,1.0,0.14285714285714285
331,Eddard-Stark,Sandor-Clegane,Undirected,10,1.0,0.1
332,Eddard-Stark,Sansa-Stark,Undirected,34,1.0,0.029411764705882356
333,Eddard-Stark,Stannis-Baratheon,Undirected,18,1.0,0.05555555555555555
334,Eddard-Stark,Syrio-Forel,Undirected,6,1.0,0.16666666666666666
335,Eddard-Stark,Theon-Greyjoy,Undirected,5,1.0,0.2
336,Eddard-Stark,Tobho-Mott,Undirected,7,1.0,0.14285714285714285
337,Eddard-Stark,Tomard,Undirected,15,1.0,0.06666666666666668
338,Eddard-Stark,Torrhen-Karstark,Undirected,5,1.0,0.2
339,Eddard-Stark,Tregar,Undirected,4,1.0,0.25
340,Eddard-Stark,Tyrion-Lannister,Undirected,21,1.0,0.047619047619047616
341,Eddard-Stark,Tywin-Lannister,Undirected,18,1.0,0.05555555555555555
342,Eddard-Stark,Varly,Undirected,4,1.0,0.25
343,Eddard-Stark,Varys,Undirected,61,1.0,0.016393442622950817
344,Eddard-Stark,Vayon-Poole,Undirected,12,1.0,0.08333333333333333
345,Eddard-Stark,Wyl-(guard),Undirected,3,1.0,0.3333333333333333
346,Eddard-Stark,Wylla,Undirected,3,1.0,0.3333333333333333
347,Edmure-Tully,Hoster-Tully,Undirected,7,1.0,0.14285714285714285
348,Edmure-Tully,Jaime-Lannister,Undirected,4,1.0,0.25
349,Edmure-Tully,Karyl-Vance,Undirected,4,1.0,0.25
350,Edmure-Tully,Lysa-Arryn,Undirected,5,1.0,0.2
351,Edmure-Tully,Marq-Piper,Undirected,3,1.0,0.3333333333333333
352,Edmure-Tully,Petyr-Baelish,Undirected,4,1.0,0.25
353,Edmure-Tully,Robb-Stark,Undirected,5,1.0,0.2
354,Edmure-Tully,Tytos-Blackwood,Undirected,3,1.0,0.3333333333333333
355,Eon-Hunter,Lysa-Arryn,Undirected,3,1.0,0.3333333333333333
356,Eon-Hunter,Vardis-Egen,Undirected,3,1.0,0.3333333333333333
357,Fogo,Ogo,Undirected,4,1.0,0.25
358,Galbart-Glover,Jaime-Lannister,Undirected,3,1.0,0.3333333333333333
359,Galbart-Glover,Jon-Umber-(Greatjon),Undirected,4,1.0,0.25
360,Galbart-Glover,Rickard-Karstark,Undirected,4,1.0,0.25
361,Galbart-Glover,Robb-Stark,Undirected,5,1.0,0.2
362,Galbart-Glover,Roose-Bolton,Undirected,3,1.0,0.3333333333333333
363,Gared,Jeor-Mormont,Undirected,4,1.0,0.25
364,Gared,Waymar-Royce,Undirected,13,1.0,0.07692307692307693
365,Gared,Will-(prologue),Undirected,12,1.0,0.08333333333333333
366,Gerold-Hightower,Oswell-Whent,Undirected,3,1.0,0.3333333333333333
367,Gerold-Hightower,Robert-Baratheon,Undirected,4,1.0,0.25
368,Gregor-Clegane,Jaime-Lannister,Undirected,3,1.0,0.3333333333333333
369,Gregor-Clegane,Loras-Tyrell,Undirected,10,1.0,0.1
370,Gregor-Clegane,Marq-Piper,Undirected,6,1.0,0.16666666666666666
